problem,time,notes
0,0.00,seconds on new laptop (with :set +s in ghci or real in unix time)
000000000000000,,pe1.hs
1,0.01,
2,0.00,
3,0.38,
4,0.01,
5,0.00,
6,0.00,
7,0.03,
8,0.01,
9,0.05,
10,1.31,
11,0.01,
12,3.34,
13,0.00,
14,0.45,unix time for swift solution; 24 seconds for compiled Haskell solution without OEIS lookup
15,0.01,
16,0.00,
17,0.03,
18,0.00,
19,0.21,
20,0.00,
000000000000000,,pe2.hs
21,2.17,
22,0.07,unix time
23,29.37,compiled (ghc -O) solution ran in 9.20 seconds (good enough)
24,0.00,
25,0.00,
26,0.07,
27,2.97,
28,0.01,
29,0.54,
30,1.06,
31,0.03,
32,0.11,
33,0.01,
34,3.95,
35,0.20,
36,0.04,
37,0.69,
38,0.01,
39,0.00,
40,0.00,
000000000000000,,pe3.hs
41,1.95,
42,0.03,unix time
43,0.01,
44,8.95,
45,0.12,
46,0.06,
47,3.73,
48,0.01,
49,0.41,
50,0.21,
51,0.68,
52,0.17,
53,0.03,
54,0.03,unix time
55,0.41,
56,0.90,
57,0.27,
58,13.93,
59,0.00,
60,,In Progress
000000000000000,,pe4.hs
61,0.02,
62,9.46,
63,0.00,
64,0.70,
65,0.00,
66,0.06,
67,0.04,unix time
68,0.61,
69,0.00,
70,0.06,
71,0.00,
72,0.95,unix time
73,13.93,
74,8.30,
75,3.12,
76,0.00,
77,0.44,
78,,In Progress
79,0.00,solved with paper and pencil; find computer solution
80,0.33,
000000000000000,,pe5.hs
81,0.05,unix time
82,0.10,unix time
83,,unix time; In Progress
84,0.94,
85,0.01,
86,0.28,last step is manual - find complete computer solution
87,4.53,
88,,In Progress
89,0.02,unix time
90,0.12,
91,0.01,
92,10.07,unix time with ghc -O; interpreted time was 22 to 32sec
93,10.03,
94,0.00,
95,,
96,0.02,unix time
97,0.00,
98,0.49,unix time
99,0.03,unix time
100,0.01,
000000000000000,,pe6.hs
101,0.01,
102,0.04,unix time
103,,
104,8.30,
105,,
106,,
107,,unix time; In Progress
108,,
109,0.15,
110,,
111,,
112,0.05,plus lots of manual work; find complete computer solution
113,,
114,6.98,
115,0.01,
116,0.00,
117,0.01,
118,,
119,,
120,0.01,
000000000000000,,pe7.hs
121,0.07,
122,,
123,,
124,16.13
125,8.11,
126,,
127,,
128,,
129,,
130,,
131,,
132,,
133,,
134,,
135,,
136,,
137,,
138,,
139,,
140,,
000000000000000,,pe8.hs
141,,
142,,
143,,
144,0.01,
145,0.00,
146,,
147,,
148,,
149,,
150,,
151,,
152,,
153,,
154,,
155,,
156,,
157,,
158,,
159,,
160,,
000000000000000,,pe9.hs
161,,
162,,In Progress
163,,
164,,
165,,
166,,
167,,
168,,
169,,In Progress
170,,
171,,
172,,
173,3.03,
174,,
175,,
176,,
177,,
178,,
179,,
180,,
000000000000000,,pe10.hs
181,,
182,,
183,,
184,,
185,,
186,,
187,,In Progress
188,,
189,,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
000000000000000,,pe11.hs
201,,
202,,
203,,
204,,
205,0.01,
206,0.69,
207,,
208,,
209,,
210,3.551,unix real time when compiled with ghc -O; interpreted time was 150.86
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
000000000000000,,pe12.hs
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,In Progress
234,,
235,,
236,,
237,,
